 time mnvel errvel tel
0 2455439.94 4.328708108108108 1.0741281819928903 hires_post
1 2455440.881 -2.6238558851237372 0.8951771105329487 hires_post
2 2455455.828 -2.3494439967767926 1.192239207187685 hires_post
3 2455464.790333333 12.043333333333335 1.0392304845413265 hires_post
4 2455465.8689999995 8.995341922695738 1.0766648205351552 hires_post
5 2455466.727 -0.8720944741532977 1.134454724650411 hires_post
6 2455467.8493333333 -2.793321076414424 1.15181258722915 hires_post
7 2455468.716 0.7375311942959002 1.134454724650411 hires_post
8 2455469.755333333 -4.117838137472283 1.0188685520644012 hires_post
9 2455471.8493333333 -3.407188612099644 1.0737899752894084 hires_post
10 2455486.821666667 -1.7149415204678364 1.1896237549589253 hires_post
11 2455490.821 -5.8589537730129715 1.15181258722915 hires_post
12 2455521.759 -8.33 2.2 hires_post
13 2456762.639368 2.029999999998836 1.93 HARPS_N
14 2456764.64751 -0.020000000000436557 1.45 HARPS_N
15 2456765.622661 -10.380000000001019 1.38 HARPS_N
16 2456766.63719 -13.520000000000437 5.99 HARPS_N
17 2456768.669315 -5.520000000000437 1.75 HARPS_N
18 2456769.737457 0.020000000000436557 1.16 HARPS_N
19 2456783.5610929998 -6.549999999999272 1.19 HARPS_N
20 2456784.564843 -8.479999999999563 1.15 HARPS_N
21 2456785.617658 -9.280000000002474 1.43 HARPS_N
22 2456798.576307 2.319999999999709 0.99 HARPS_N
23 2456799.561359 0.3600000000005821 1.32 HARPS_N
24 2456800.551758 1.4500000000007276 1.14 HARPS_N
25 2456801.524205 1.7499999999999998 1.3 HARPS_N
26 2456802.539813 3.6599999999998545 2.0 HARPS_N
27 2456803.572851 4.469999999997526 1.79 HARPS_N
28 2456813.516317 -3.220000000001164 0.88 HARPS_N
29 2456814.537057 4.809999999997672 1.07 HARPS_N
30 2456816.639846 4.880000000001019 0.9 HARPS_N
31 2456828.455942 3.5400000000008727 1.78 HARPS_N
32 2456829.423431 4.919999999998254 1.23 HARPS_N
33 2456830.454195 -1.0100000000020373 1.11 HARPS_N
34 2456831.713969 2.7700000000004366 1.04 HARPS_N
35 2456832.468881 4.880000000001019 1.15 HARPS_N
36 2456833.531472 -5.180000000000291 1.38 HARPS_N
37 2456834.451861 -0.9200000000018917 1.17 HARPS_N
38 2456835.497761 -5.729999999999563 1.18 HARPS_N
39 2456836.5332204998 3.094749924096294 1.092443545225152 HARPS_N
40 2456845.433549 5.889999999999418 1.31 HARPS_N
41 2456846.481384 -4.569999999999709 0.94 HARPS_N
42 2456847.439704 -5.440000000002328 1.64 HARPS_N
43 2456848.402826 1.0099999999983993 1.46 HARPS_N
44 2456849.404363 0.7999999999992724 1.61 HARPS_N
45 2456850.412033 -2.650000000001455 3.0 HARPS_N
46 2456851.408417 3.599999999998545 0.91 HARPS_N
47 2456852.407578 -4.280000000002474 1.56 HARPS_N
48 2456853.411021 5.489999999997963 1.22 HARPS_N
49 2456863.6593675 -3.1286577526373187 1.388644569831199 HARPS_N
50 2456864.562032 0.7423103448271988 0.9236974052966286 HARPS_N
51 2456865.5835955 2.248921933085972 1.0304111858359801 HARPS_N
52 2456866.5462295003 -5.0062620689665325 1.3154657756462353 HARPS_N
53 2457115.684925 -1.6599999999998545 1.97 HARPS_N
54 2457122.653637 -5.360000000000582 1.47 HARPS_N
55 2457156.57568 -6.600000000002183 3.58 HARPS_N
56 2457158.600352 -8.900000000001455 2.66 HARPS_N
57 2457159.594238 -1.0 1.78 HARPS_N
58 2457160.6468585003 -3.4849497847935886 0.9495296814503333 HARPS_N
59 2457161.637022 -4.729513696043972 1.0460841033177466 HARPS_N
60 2457180.6142805 1.8080257510719493 0.9438088030972362 HARPS_N
61 2457181.6075945 6.213466191784136 0.9557640668436477 HARPS_N
62 2457182.584043 1.8729961309794476 1.0130002565031166 HARPS_N
63 2457183.6141445 -2.669556565164586 1.1484253388152956 HARPS_N
64 2457184.5851525 -8.452508892577853 1.7313318798701431 HARPS_N
65 2457185.5799335 -4.408220199840792 1.0323032545633979 HARPS_N
66 2457186.5900675002 2.890748833440334 0.9382608073703078 HARPS_N
67 2457188.5910845 0.17166409504605817 1.110049492148565 HARPS_N
68 2457189.5833280003 -2.5729855404149817 1.3839822039577445 HARPS_N
69 2457190.5965265 4.816866095526634 1.0192346180668532 HARPS_N
70 2457191.5965175 3.2591946702666714 0.9222664791556927 HARPS_N
71 2457192.5940835 -0.6166673667621287 0.9757305009588682 HARPS_N
72 2457193.59607 5.471411113672394 0.9821442992182832 HARPS_N
73 2457195.562945 2.658954730849417 1.2680605442062238 HARPS_N
